s,p,o
http://rdf.geohistoricaldata.org/id/directories/entry/980457,http://rdf.geohistoricaldata.org/def/directory#numEntry,267871
http://rdf.geohistoricaldata.org/id/directories/entry/980458,http://rdf.geohistoricaldata.org/def/directory#numEntry,269012
http://rdf.geohistoricaldata.org/id/directories/entry/980459,http://rdf.geohistoricaldata.org/def/directory#numEntry,270297
http://rdf.geohistoricaldata.org/id/directories/entry/980460,http://rdf.geohistoricaldata.org/def/directory#numEntry,274408
http://rdf.geohistoricaldata.org/id/directories/entry/980461,http://rdf.geohistoricaldata.org/def/directory#numEntry,275925
http://rdf.geohistoricaldata.org/id/directories/entry/980462,http://rdf.geohistoricaldata.org/def/directory#numEntry,276099
http://rdf.geohistoricaldata.org/id/directories/entry/980463,http://rdf.geohistoricaldata.org/def/directory#numEntry,276138
http://rdf.geohistoricaldata.org/id/directories/entry/980464,http://rdf.geohistoricaldata.org/def/directory#numEntry,276707
http://rdf.geohistoricaldata.org/id/directories/entry/980465,http://rdf.geohistoricaldata.org/def/directory#numEntry,276770
http://rdf.geohistoricaldata.org/id/directories/entry/980466,http://rdf.geohistoricaldata.org/def/directory#numEntry,278082
http://rdf.geohistoricaldata.org/id/directories/entry/980467,http://rdf.geohistoricaldata.org/def/directory#numEntry,278480
http://rdf.geohistoricaldata.org/id/directories/entry/980468,http://rdf.geohistoricaldata.org/def/directory#numEntry,279210
http://rdf.geohistoricaldata.org/id/directories/entry/980469,http://rdf.geohistoricaldata.org/def/directory#numEntry,281963
http://rdf.geohistoricaldata.org/id/directories/entry/980470,http://rdf.geohistoricaldata.org/def/directory#numEntry,282309
http://rdf.geohistoricaldata.org/id/directories/entry/980471,http://rdf.geohistoricaldata.org/def/directory#numEntry,284014
http://rdf.geohistoricaldata.org/id/directories/entry/980472,http://rdf.geohistoricaldata.org/def/directory#numEntry,284014
http://rdf.geohistoricaldata.org/id/directories/entry/980473,http://rdf.geohistoricaldata.org/def/directory#numEntry,284165
http://rdf.geohistoricaldata.org/id/directories/entry/980474,http://rdf.geohistoricaldata.org/def/directory#numEntry,284166
http://rdf.geohistoricaldata.org/id/directories/entry/980475,http://rdf.geohistoricaldata.org/def/directory#numEntry,284201
http://rdf.geohistoricaldata.org/id/directories/entry/980476,http://rdf.geohistoricaldata.org/def/directory#numEntry,285343
http://rdf.geohistoricaldata.org/id/directories/entry/980477,http://rdf.geohistoricaldata.org/def/directory#numEntry,285942
http://rdf.geohistoricaldata.org/id/directories/entry/980478,http://rdf.geohistoricaldata.org/def/directory#numEntry,286602
http://rdf.geohistoricaldata.org/id/directories/entry/980479,http://rdf.geohistoricaldata.org/def/directory#numEntry,287361
http://rdf.geohistoricaldata.org/id/directories/entry/980480,http://rdf.geohistoricaldata.org/def/directory#numEntry,289392
